iter	Passed	Remaining
0	0	74
1	1	66
2	2	64
3	2	59
4	3	58
5	3	56
6	4	55
7	4	54
8	5	54
9	5	53
10	6	52
11	7	52
12	7	52
13	8	51
14	8	50
15	9	50
16	10	49
17	10	49
18	11	48
19	12	48
20	12	47
21	13	46
22	13	46
23	14	45
24	15	45
25	15	44
26	16	43
27	16	43
28	17	42
29	17	41
30	18	41
31	19	40
32	19	40
33	20	39
34	21	39
35	21	38
36	22	37
37	22	37
38	23	36
39	24	36
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	31
46	27	31
47	28	30
48	28	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	27
54	32	26
55	32	25
56	33	25
57	34	24
58	34	24
59	35	23
60	35	22
61	36	22
62	37	21
63	37	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	41	17
71	42	16
72	43	15
73	43	15
74	44	14
75	44	14
76	45	13
77	46	13
78	46	12
79	47	11
80	47	11
81	48	10
82	48	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
